City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
38,Vega De Alatorre,MX,86.68,scattered clouds,20.03,-96.63,Hotel D Luxe
40,Hilo,US,86.29,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
55,Half Moon Bay,US,87.91,few clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
98,Punto Fijo,VE,86.92,broken clouds,11.7,-70.2,Santa Fe Inn Hotel
128,Altamira,BR,87.89,scattered clouds,-3.2,-52.21,Requinte Hotel
140,Concord,US,88.29,clear sky,37.98,-122.03,Hilton Concord
193,Catarama,EC,87.03,few clouds,-1.58,-79.47,Hotel Ricaurte
195,Pahrump,US,85.24,clear sky,36.21,-115.98,Best Western Pahrump Oasis
214,Ridgecrest,US,85.68,clear sky,35.62,-117.67,SpringHill Suites by Marriott Ridgecrest
234,Morant Bay,JM,88.72,scattered clouds,17.88,-76.41,Whispering Bamboo Cove Resort
246,Acapulco,MX,85.05,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
268,Balkanabat,TM,88.05,clear sky,39.51,54.37,Nebitchi Hotel
270,Cataguases,BR,86.65,scattered clouds,-21.39,-42.7,Hotel Viana
291,Lodwar,KE,86.85,broken clouds,3.12,35.6,Solmar Gracious Hotel
314,Hobbs,US,85.06,scattered clouds,32.7,-103.14,Best Western Executive Inn
339,Bhinmal,IN,87.67,clear sky,25.0,72.25,Jambheswar Bhavan(Gopi Khilery)
348,The Valley,AI,85.86,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
349,Solana Beach,US,87.73,scattered clouds,32.99,-117.27,Hilton San Diego/Del Mar
376,Jibuti,DJ,88.07,clear sky,11.5,42.5,Orchid Main Camp Goubet
382,Humaita,BR,87.93,overcast clouds,-7.51,-63.02,Corr̻a Hotel
416,Bosaso,SO,86.36,broken clouds,11.28,49.18,Red Sea Hotel
421,Santa Isabel Do Rio Negro,BR,85.77,broken clouds,-0.41,-65.02,Hotel GSA
440,Bodden Town,KY,87.01,few clouds,19.28,-81.25,Will T Place
518,Las Juntas,MX,86.94,scattered clouds,19.42,-104.7,La casa de la Riata
555,Shorapur,IN,85.59,overcast clouds,16.52,76.75,Maheshwari Bhawan
585,Silver City,US,85.68,clear sky,32.77,-108.28,Copper Manor Motel
601,Butte,US,87.98,overcast clouds,39.65,-121.57,Meadowbrook Oaks Mobile Home Park
619,San Cristobal,VE,86.18,few clouds,7.77,-72.22,Pirineos
